"filename", "language", "PHP", "HTML", "CSS", "Markdown", "XML", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\refresh.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\icons\reset.svg", "XML", 0, 0, 0, 0, 97, 0, 0, 0, 1, 2, 100
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\image\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\index.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\img\loader-ring.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\js\index.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\js\show-pwd.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\README.md", "Markdown", 0, 0, 0, 158, 0, 0, 0, 0, 0, 64, 222
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\SECURITY.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 15, 29
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\composer.json", "JSON", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\get_oauth_token.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 46, 15, 145
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-am.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-ar.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 5, 2, 28
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 1, 26
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-ch.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 12, 2, 27
"d:\Program Files\XAMPP\htdocs\TCD2020-resume\public\PHPMailer\language\phpmailer.lang-cs.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
